paper title,exclude,selected,domain,dimension,phrases indicating the dimension
Ethically sourced animal cadavers and tissue: Considerations for education and training,0,1,Education; Life Sciences,animal welfare,"""increasing awareness of animal welfare, animals' needs and animal ethics"""
Ethical sourcing to ensure sustainability in the food and beverage industry and eliciting millennial perspectives,0,1,Economy; food and beverage industry,"animal welfare;
Social responsibility (community development);
environment (energy consumption)
environment (emissions and pollution);
labor right (fair wage, working conditions, legal employment);
health and safety;
transparency (in supply chain);
","""animal welfare"";
""The commitment to become a sustainable industry is essential in making a positive impact in our communities""
""increase of greenhouse gas emissions""
""company uses tons of energy and raw materials ""
""wages and benifit"", ""child labor"", ""working condition"";
""Safe Quality Food"";
""supplier transparency"";
"
Facilitating the ethical sourcing of donor hematopoietic stem cells for cell and gene therapy research and development,0,1,medicine,"transparency;
privacy","""openness and clear communication regarding how their donated cells are used in research"";
""concerns over privacy, security of genetic material"""
"Consent Is Dead, Long Live Ethical Oversight: Integrating Ethically Sourced Data into Demonstrated Consent Models",0,1,biomedicine; bioethics,"Diversity
consent;
Privacy
Transparency
Fairness
Representative
energy consumption
Accessibility","""Ethical integrity and accountability: Ensuring that data practices uphold consent, transparency, and diversity"";
""informed consent, clear"";
""Minimizing bias"";
""ensuring that datasets are representative to avoid reinforcing systemic inequities"";
""energy-efficient consensus mechanisms,"";
""The technical requirements—such as reliable
Internet access, digital literacy, and compatible devices—could exclude individuals in resource-limited settings or under-resourced populations"";"
A greater share of the stomach? Role of provenance and ethical standards on consumers' food choices and purchasing intentions,0,1,Economy; Food industry,"energy consumption;
emissions and pollution
animal welfare;
transparency;
fair trade","""reduces energy consumption"";
""Carbon Foorprint""
""animal welfare""
""traceability"";
""fair trade"""
Ethically Sourced Creativity: Shutterstock's Alessandra Sala,1,0,,,
Ethical Sourcing and Consumer Demand for Coffee,1,0,,,
Ethical animal use in education and training: From clinical rotations to ethically sourced cadavers,0,1,Education; medicine and biological science,"animal welfare;
consent","""the highest ethical, welfare, health and safety standards""
""Client donated, if a companion animal"""
Who owns your voice? Ethically sourced voices for non-commercial TTS applications,0,1,"speech synthesis, text-to-speech","privacy;
informed consent;
representative;
Intellectual Property Rights (IPR), licensing;","""privacy issues"";
""lack of informed consent"",""opt-in"";
""varied and representative TTS voices for use by other communities"";
""ownership rights"", ""copyright or patent to one's voice"";"
The Role of Ethical Sourcing Practices in Addressing Price Inflation in Renewable Energy Supply Chains,1,0,,,
Ethical Sourcing in the Global Food System,0,1,food industry; economy,"fair trade;
labor right (working conditions);
equity","""fair trade"";
""decent working condition"";
""Ethical Trade: What Does It Mean for Women Workers in African Horticulture?"""
Ethical sourcing: An analysis of the literature and implications for future research,0,1,Business Ethics; supply chain management,"labor right (fair wage)
fair trade","""low wage"";
""Starbuck’s unfair trade scandal in the early 2000s, which was blamed for making huge profits at the coffee grower’s expense"""
Ethical sourcing: a contribution to sustainability or a diversion?,0,1,economy,"fair trade;
energy consumption
emissions and pollution","""fair trade"";
"" environmental impact assessment and energy and materials accounting ""
""waste and pollution management"""
Supply chain specific? Understanding the patchy success of ethical sourcing initiatives,0,1,economy; supply chain,environment;,"""do not contribute to environmental degradation"""
The influence of ethical values and food choice motivations on intentions to purchase sustainably sourced foods,0,1,economy; food industry,"fair trade;
animal welfare;
labor rights;
health and safety","""fair trade"";
""animal welfare"";
""human rights are not violated"";
""Of the food motives variables, only ethical values and health were significant. """
The influence of ethical culture on supplier selection in the context of sustainable sourcing,0,1,economy; supply chain,"environment (energy consumption)
emissions and pollution
labor rights (working conditions, legal employment);
health and safety;
equity;
diversity;
fairness;","""environmental sustainability"", ""energy consumption and increase in resource efficiency""
""reduction of CO2 emissions""
""labor conditions"", ""labor equity"", ""employing children"";
""healthcare, safety"";
""labor equity"";
""diversity"";
""fairness"";"
Ethical Sourcing of Raw Materials,0,1,economy; Cosmetics Industry,"environment (energy consumption);
social responsibility (community development);","""biodiversity"", ""renewable energy and waste management"";
""stimulate the development and wellbeing of communities"""
Fast fashion or clean clothes? Evaluating consumer demand for ethically sourced apparel,0,1,economy,"labor right (fair wage, legal employment);
environment;
fair trade","""labor rights protection"",""baseline labor standards like child labor, forced overtime and minimum wages "";
""environmental protection"";
""fair trade"""
Using ethically sourced training aids for human remains detection dog training,0,1,forensic,"informed consent ;
animal ethics;","""with the consent of living individuals”, ""voluntary donations"";
""ethics approval"";"
Luxury marketing strategies related to ethical sourcing,0,1,economy; Luxury marketing,"environment (energy consumption, emissions and pollution, biodiversity)","""Current production is unsustainable from a resource, pollution and biodiversity perspective"", ""renewable energy, carbon management"";"
From banking to international governance: fostering innovation in stem cell research,0,1,,"consent;
privacy;
accountability (transparency)","""informed consent and
privacy"";
""promote transparency, stewardship, and accountability to generate public support and trust."""
Leading the transition to ethical human body sourcing in Africa: The South African experience,0,1,"medical; 
Anatomy","informed consent;
Social acceptability (culture);
Social acceptability (religion)","""informed consent"";
""integrating cultural and religious needs"", ""traditional religions and the belief"";
""integrating cultural and religious needs"", ""traditional religions and the belief"";"
Ethically Sourced Vanilla: Certifications in the production of vanilla in the SAVA Region of Madagascar,1,0,,,
A Transparent New World: Ethically Sourced Mineral Supply Chain,0,1,economy; Mineral Supply Chain,"enviornment(emissions and polution);
transparency;
labor rights (ilegal employment);
social responsibility","""such as causing deforestation or chemical pollution"";
""Lack of Transparency in Mineral Supply Chain""
""child labor or forced labor"";
""social responsibility and sustainable development """
"Supply chain transparency, ethical sourcing, and synthetic diamond alternatives: exploring the perspectives of diamond retailers",1,0,,,
Sustainable sourcing of organic skincare ingredients: A critical analysis of ethical concerns and environmental implications,1,0,,,
Ethical sourcing of human embryonic stem cells—rational solutions?,0,0,medicine; biology,,
Certifying biodiversity: The union for ethical biotrade and the search for ethical sourcing,0,1,environment; biodiversity,environment,biodiversity
Ethics in business,1,0,,,
Shareholder value effects of ethical sourcing: comparing reactive and proactive initiatives,0,1,economy,"transparency (supply chain);
social responsibility (community development);
animal ethics (welfare);
Labor Rights(ilegal employment, working condition, unfair wage);
diversity (in teams/ suppliers, but not so clear);
economy (fair trade);","""make the supply chain more transparent"";
""corporate social responsibility"", ""facilities in the suppliers’ local communities"";
""animal welfare"";
""child labor"", ""unfair treatment toward their coffee farmer"", ""poor working conditions"", ""human rights and health/safety into suppliers"";
""diversity"";
""fair trade"";"
Sustainability and Ethical Considerations in Product Management,0,1,product management,"environment (energy consumtption, emissions and pollution);
social responsibility (equity);
transparency;
economy (fair trade);
labor rights (fair wages, working condition);","""environmentally responsible"", ""eco-friendly product"", ""reduce waste and emissions"", ""reduces environmental impact"";
""social equity"";
""Supply Chain Transparency"", ""clear visibility"";
""fair trade"";
""fair wages and ensuring safe working environments"". ""concerns about exploitation"";"
[HTML] Launching the tree of life gateway,1,0,,,
Individuals and (synthetic) data points: using value-sensitive design to foster ethical deliberations on epistemic transitions,0,1,"medical;
voice AI;
voic recognition;
synthetic data","data collection (diversity, fairness);
data availability;
data privacy;
informed consent;
transparency (data collection)
quality (accuracy)","""biases and conceal inequalities"", ""high-quality and diverse"", "" such as languages, accents, gender, age, ethnicity, health conditions, and voice and speech related pathologies,"";
""accessible"";
""privacy protection"";
""informed participation"";
""transparency""
""enhanced diversity, accuracy, and privacy protection, are attained while maintaining accuracy of the synthetized voice data"""
"Preparation and Preservation of Donated Human Skeletal Remains with the use of Dermestid Beetles, Maceration, and Acryloid B-72 Polymer",1,0,,,
Sheinerella,1,0,,,
SIG: A Synthetic Identity Generation Pipeline for Generating Evaluation Datasets for Face Recognition,0,1,"image recognition;
AI;","data privacy;
fairness;
informed consent;
data collection (diversiity)
data collection (representativeness);","""privacy regulations"";
""fairness"", ""bias issue"";
""user’s consent"";
""diverse demographic groups and conditions"";
""demographic representation"""
Examining the Impact of Ethical Supply Chain Practices on Brand Equity: A Qualitative Analysis of Consumer Perceptions,1,0,,,
Early AI lifecycle co-reasoning: ethics through integrated and diverse team science,0,1,"medical AI;
bioethics","fairness in data collection;
data availability;
transparency (AI framework);
diversity in team;
equity;
data collection (representation, and generalizability);","""fair decision-making and epistemic justice ... during data collection"";
""accessible"";
""transparency"";
""interdisciplinary"",""For co-reasoning to be truly impactful, it must indeed be anchored in mutual trust and respect, listening, and open engagement, while honoring each individual’s mastery and domain"";
""DEI (diversity, equity and inclusion)"";
""representation, and generalizability"";"
Stakeholder perspectives on ethical and trustworthy voice AI in health care,0,1,"medical AI;
voice","fairness (data collection); 
diversity (data collection); 
data pricacy; 
environment (energy consumption); 
social acceptability (culture)
transparency (Data collection); 
informed consent; 
representativeness (data collection) ; 
accuracy (quality)","""Treating data subjects fairly"", ""free from bias and discrimination"", ""bias concerns in data collection and utilization"", "" biases and disparities"";
""diverse representation"", ""inclusive"";
""ensure data is stored securely, protecting individuals’ privacy and personal information"";
""environmental impact of data storage and management, promoting energy efficiency and sustainability"";
""cultural sensitivity"";
""transparent about the data collection process"";
""informed consent"";
"" representation and bias concerns in data collection and utilization"", ""most respondents emphasized the importance of targeted recruitment
and oversampling from diverse groups to ensure proper representation. ""
""prioritizing “accuracy and reliability” "
Investigating the Use of Companion Animal Donor Tissue Banks,0,1,"Bioethics;
Veterinary Medicine;
Education; medicine and biological science","informed consent
social acceptability;
animal welfare;","""client-donated"";
""morally acceptable"";
""animals experience both acute and prolonged pain as well as the discomfort and pain of disease"""
The Oasis Brew Coffee House Comprehensive Market Analysis for Product Launch,1,0,,,
Blockchain Technology in Sustainable Supply Chains: Risk Management and Opportunities,1,0,,,
Merging Blockchain and Augmented Reality for an Immersive Traceability Platform,0,1,supply chain; digital platform,"environment;
transparency","""environmentally friendly"";
""traceability"";"
Alternatives to animal use in veterinary education: A growing debate,1,0,,,
Navigating the Coffee Business Landscape: Challenges and Adaptation Strategies in a Changing World,0,1,economy; coffee industry,"social acceptability (preference) (consumer awareness); 
environment (biodiversity, energy consumption); 
economy (fair trade); 
labor rights (fair wage, working conditions, legal employment); 
transparency (supply chain) ","""consumer preferences"", ""Modern coffee enthusiasts, ever more mindful of..."";
""Climate change"", ""eco-friendly"", ""promote biodiversity conservation"", ""energy standards"";
""fair trade"";
""exploit the labor of vulnerable communities"", ""fair wages, safe working conditions, and community support"";
""transparency"""
Beyond the property debate: animal welfare as a public good,0,1,animal ethic; law; economy,"animal welfare;
environment
social acceptability","""animal walfare"";
""environmental protection"",
""’The report indicated that consumers were willing to pay up to 20–30% more for ethically sourced foods"""
Developing an Artisanal Buying Centre System Meeting Ethical Sourcing Criteria,0,1,economy,"transparency in supply chain;
labor rights (ilegal employment)","""provenance traceability"";
""child labour, or other human rights abuses"""
Korea national stem cell bank,0,1,medicine,"health / safety (medicine);
data availability (access);
informed consents;","""The application of hESCs needs to be ethical and safe."";
""data are also available through"";
""informed consents"";"
New NIH program for artificial intelligence in research,1,0,,,
Oasis Brew Coffee House's Economic Analysis to Local Wisdom,1,0,,,
The Halal Positive List: Streamlining the Path to Certification,0,1,"religion; Ingredient 
evaluation; Halal 
certification","social acceptability (religion);
safety (food);
transparency (supply chain)
contamination","""Halal certification, a crucial religious guideline for Muslims"";
""ingredient safety"";
""the need for extensive traceability""
""ensure that all raw materials are sourced from halal-certified suppliers and inspect production lines to ensure no cross-contamination between halal and non-halal products."""
Conditioned canine cadavers for near-natural interprofessional veterinary and human surgery training,0,0,Medical and Education; animal,,
Humane innovations in veterinary anatomy education in India,0,1,Medical and Education; animal,"animal welfare;
informed consent;","""Animal welfare encompasses both the physical and psychological states of the animal"";
""with the client signing the euthanasia consent form"", ""Willed-Body Programme ... donated cadavers "";"
The LA River project: Resting and raging through histories of containment,1,0,,,
Sustainable and Technological Innovations in Industrial Operations,1,0,,,
Yankari: A Monolingual Yoruba Dataset,1,0,,,
Vegan artist: exploring the ethical use of animals in contemporary art through a reconsideration of the vegan philosophy,1,0,,,
Manufacturing safer medics,1,0,,,
"Enhancing Gemstone Classification Accuracy: A Deep Learning Approach Using CNN, VGG-19, and Xception",0,0,deep learning,,
Validation of Ethical COVID-19 Antibody Testing that Adheres to Pro-Life Principles,0,0,medicine,,
Generation of a Multimodal Atlas of Type 2 Diabetes for Artificial Intelligence (AI-READI): Purpose and Design,1,0,,,
Ethically Sourced Modeling: A Framework for Mitigating Bias in AI Projects within the US Government,1,0,,,
Sin tÃ­tulo establecido.,1,0,,,
"Developing Multi-Disorder Voice Protocols: A team science approach involving clinical expertise, bioethics, standards, and DEI.",0,1,"voice AI;
medicine","data collection diversity, representativeness; 
data privacy and security
equity;
informed consent; 
data availability; 
transparency in data collection; ","""representative of a diverse population"";
""privacy"", ""sensitivity related to identifiability"", ""privacy, security, and potential discrimination and other harms"", ""provide privacy-preserving solutions to both data governance and computing"";
""diversity, equity, and inclusion (DEI)"";
""complex informed consent"";
""datasets remain inaccessible for lack of appropriate consent and sensitivity related to identifiability. "", ""protocol is explicit open-access"";
""transparent"";"
"Tools for Collecting, Synchronizing, and Annotating Ecologically Valid Social Behavior In-the-Wild",1,0,,,
"Jane Gray's Upcycling Ethos, Lifestyle and Practice",1,0,,,
Adima: Abuse detection in multilingual audio,0,1,"voice AI; 
language dataset","diversity (Data); 
data privacy; 
data collection (fairness); 
labor rights (data annotation, fair wages); 
accessibility; 
informed consent; ","""diverse"", ""well-balanced"";
""remove any Personally Identifiable Information (PII)"", ""anonymize"";
""profane language, cyber-bullying, racial slur, hate speech"", ""racist, sexist"", ""class imbalance-related"";
""annotators were employed on a contract basis and fairly compensated"", ""expert annotator"";
""Personally Identifiable Information (PII) from the dataset and anonymize it. The raw data is kept on secure servers with strong access restrictions to prevent any malicious usage."";
""users’ informed consent"""
Nudie Jeans: An'Impact First Brand'Contributing to Sustainable Fashion Industry.,1,0,,,
GREEN BEAUTY: THE GROWING DEMAND FOR ORGANIC COSMETICS,0,1,"Organic Cosmetics;
beauty products; chemistry","environment (emissions and pollution, biodiversity); 
transparency (supply chain); 
economy (fair trade); 
social responsibility (community development); 
labor rights;(not specific)
health/ safety (chemistry); 
animal welfare; ","""environmental and health impacts"", ""eco-conscious consumerism"", ""sustainability"", ""without synthetic chemicals"", ""biodiversity conservation, and environmental stewardship"";
""transparency ... in product development"", "" transparency ...regarding the sourcing and composition of their products"";
""fair trade"";
""communities benefit from the production proces"";
""workers are treated fairly"";
""personal health"";
""Animal welfare"", ""Cruelty Free production and testing"";"
When Human Labor Doesn't Paint a Pretty Picture: The Cheap= Poor Working Conditions Intuition,1,0,,,
The addition of a new food product in the Codex Alimentarius: The case of Bali Sardinella (Sardinella lemuru),1,0,,,
The interaction of glycogen nanoparticles with human blood,0,0,medicine,,
The Local is Global: Voices of Leaders in Coffee Justice,1,0,,,
Exploring Sustainability in Design-Seaology and Desert Haven Hotel,1,0,,,
Blockchain Technology for Cybersecurity: Risk Management in Sustainable Supply Chains,1,0,,,
NIH to Inject Healthy Bolus of Data to Sustain the Future of AI for Medical Discoveries,1,0,,,
ETHICAL SUPPLY CHAIN FOR MINERAL ORES IN DEMOCRATIC REPUBLIC OF CONGO USING BLOCKCHAIN TECHNOLOGY,1,0,,,
Open Artificial Knowledge,1,0,,,
"Multi-class heart disease Detection, Classification, and Prediction using Machine Learning Models",1,0,,,
Unveiling Sustainability in ecommerce: GPT-Powered software for identifying sustainable product features,0,1,"economy, ecommerce, sustainability, AI application; software","environment (sustainablily, pollutions and emission, energy consumption);
fair trade;
labor right (fair wage, working condition, legal employment);
social responsibility (community development);
transparency;
health/safety;
animal welfare","“recyclable, reusable, renewable,energy efficient, sustainable packaging, Biodegradable/compostable, low carbon footprint, carbon neutral, water conservation, upcycled, locally produced, minimal or no volatile organic compounds (VOCs)”;
""producers receive fair compensation, promotes sustainable livelihoods, and supports community development"", ""fair wages, safe working conditions, and the prohibition of child labor or exploitation"", ""social impact"";
""promotes transparency, accountability, and sustainable practices"";
""non-toxic""; ->food safety
""cruelty-free""; ->animal welfare
"
"Sustainable procurement practices: Balancing compliance, ethics, and cost-effectiveness",0,1,economy,"environment;
social responsibility;
transparency;
fairness (fair trade);
integrity (honestly);
accountability;
human / labor rights (fair wage, working conditions, legal employment)","""environmental sustainability"";
""social responsibility"";
""Transparency: Ensuring that procurement processes are open and transparent, enabling all parties to understand how decisions are made.""
""Fairness: Providing equal opportunities for all potential suppliers and avoiding discrimination or bias."";
""Integrity: Conducting procurement activities honestly and following ethical standards, avoiding conflicts of interest and corruption.""
""Accountability: Holding all parties responsible for their actions and decisions in the procurement process.
""paying fair wages, providing safe working conditions, and prohibiting child labor and forced labor."""
International Conference on Humane Innovations in Education-Oral Abstracts,1,0,,,
"Clean beauty'branding: A bricolage of bodily and spiritual health, ancient wisdom and ethical virtue",0,0,clean beauty products,,
Automated speech recognition of Indonesian-English language lessons on YouTube using transfer learning,0,0,automatic speech recognition (ASR) ; AI; eithically sourced data,,
Development of negative TiO2-based electrodes by soft chemistry for aqueous proton ions batteries,1,0,,,
Charting a Course toward a New Vaccine Strategy,0,1,religion; medicine,"social acceptability
religion
fair trade","""the ethical acceptance"";
""urging Catholics not to use them ""
""Fair Trade agricultural products"""
Coco Craze: Terminal year end report,1,0,,,
A novel mixed methods approach for integrating not-for-profit service data via qualitative geographic information system to explore authentic experiences of ill-health: A Case Study of Rural Mental Health,0,1,health/medicine,"consent;
diversity in teams;
data availability;
licensing;
privacy;","""how end-user consented to their data being reused in research"" (figure1)
""collaborate with external partners with expertise in ethics“;
""manages data access""
""sensitive data"", ""data sharing license or agreement""
""protect end-user anomymity""(figure 1)"
From policy to practice: Illustrating the viability of full replacement,0,1,"veterinary, education",animal welfare,"""Freedom from pain, injury and disease"""
Litigating Corporate Human Rights Information,1,0,,,
An Accessible Nephrectomy and Cystotomy Simulator for Use in Teaching Small Animal Surgery,0,0,"veterinary, education",,
Ethical Requirements for Achieving Fairness in Radiology Machine Learning: An Intersectionality and Social Embeddedness Approach,0,1,Machine Learning,"fairness;
diversity in teams
representative
privacy;
consent","""ML systems learn from human clinical judgements, which are often biased""
""diversity and competence in ML teams""
""data must be representative of the respective patient population and underlying context""
""privacy-preserving""
""ethically sourced, i.e. sourced patient data based on valid informed patient consent; """
Clean and lean makes for IPO success,1,0,,,
"Edibeans: Thinking globally, acting locally",1,0,,,
The educational efficacy of humane teaching methods: a systematic review of the evidence,0,0,animal use in education and training; life and health sciences,,
Combining science and faith for better quality and safety in halalan toyyiban products,0,1,"religion; Ingredient
evaluation; Halal
certification; food, cosmetics, and pharmaceutical industries","integrity (contamination)
labor right (fair wage);
social responsibility
environment
religion
safety/healthy","""detect non-halal contaminants and verify product integrity"";
""fair wage, ethical treatment of workers"";
""corporate social responsibility"";
""damages the environment"";
""religiously permissible""
""guarantees safety"", ""high standards of hygiene, quality, safety"""
Companion animal cadaver donation for teaching purposes at veterinary medicine colleges: A discrete choice experiment,0,0,Education; Life Sciences,,
"Grape Expectations: Newsflash: Gewurztraminer is not the best--or only--wine pairing for"" Asian"" cuisine.",1,0,,,
Rethinking the marketing mix: a Gecko Kids dilemma in the digital era,1,0,,,
"Critical Minerals, Critical Capacity and Critical Evaluation",1,0,,,
