paper title ,excluded,selected
Summary of ChatGPT Related Research and Perspective Towards the Future of Large Language Models,0,0
Empathetic Algorithms: The Role of AI in Understanding and Enhancing Human Emotional Intelligence,0,0
Future of AI & generation alpha: ChatGPT beyond boundaries,0,0
"GitHub, Copilot and the Copyright Around AI",1,0
"ChatGPT: A comprehensive review on background, applications, key challenges, bias, ethics, limitations and future scope",0,0
Summary of ChatGPT/GPT-4 research and perspective towards the future of large language models,1,0
A survey of large language models,0,0
Six tips for better coding with ChatGPT,1,0
A comprehensive review of state-of-the-art methods for java code generation from natural language text,0,0
Artificial hallucinations in ChatGPT: Implications in scientific writing,0,0
CodeRL: Mastering code generation through pretrained models and deep rein forcement learning,0,0
Competition-level code generation with alphacode,0,0
ChatGPT: Optimizing language models for dialogue?,1,0
Temporary policy: ChatGPT is banned,1,0
A systematic evaluation of large language models of code,0,0
CERT: Continual pre-training on sketches for library oriented code generation,0,0
Generative AI has an intellectual property problem,1,0
Generative AI at Work,0,0
Towards effective AI powered agile project management,0,0
How generative AI is changing creative work,1,0
"So what if ChatGPT wrote it?” Multidisciplinary perspectives on opportunities, challenges and implications of enerative conversational AI for research, practice and policy",0,0
Generative AI market size to reach $109.37 billion by,1,0
Opportunities for generative AI in UX modernization,0,0
AI-driven user story points estimation based on natural language processing,1,0
Generative artificial intelligence as a new context for management theories: Analysis of ChatGPT,0,0
A framework for responsible innovation,0,0
Create winning customer experiences with generative AI,1,0
Trends in AI inference energy consumption: beyond the performance-vs-parameter laws of deep learning,0,0
Trends in AI inference energy consumption: Beyond the performance-vs-parameter laws of deep learning,1,0
Green AI,0,0
"Sustainable ai: Environmental implications, challenges and opportunities",0,0
Best Practice Guidelines on Research Integrity and Publishing Ethics,1,0
Generative AI in Teaching and Learning Task Force (GENAI,1,0
Guidance For the Use of Generative AI,1,0
Publishing Ethics | Elsevier Policy,1,0
Using ChatGPT or Other Generative AI Tool on a Marked Assess ment,1,0
AAAI Code of Professional Ethics and Conduct,1,0
IEEE Code of Ethics,1,0
ACM Code of Ethics,1,0
AI and Teaching at Duke,1,0
AI Guidance,1,0
Teaching & Learning with ChatGPT: Opportunity or Quagmire? Part III,1,0
Programming Is Hard- Or at Least It Used to Be: Educational Opportunities And Challenges of AI Code Generation,0,1
Taking Flight with Copilot: Early Insights and Opportunities of AI-Powered Pair-Programming Tools,0,0
"Generative AI Assistants in Software Development Education: A vision for integrating Generative AI into Educational Practice, Not Instinctively Defending Against it",0,0
A Comprehensive AI Policy Education Framework,0,0
Github Copilot AI Pair Pro grammer: Asset or Liability?,0,0
Generative AI with LLMs,1,0
Prompt Problems: A New Programming Exercise for the Generative AI Era,0,0
Robosourcing Educational Resources– Leveraging Large Language Models for Learnersourcing,1,0
AI-Driven Development Is Here: Should You Worry?,0,0
My AI Wants to Know If This Will Be on the Exam: Testing OpenAI’s Codex on CS2 Programming Exercises,0,0
ChatGPT: A New Study Tool Shaping the Future for High School Students,0,0
Net Impact of Large Language Models Trained on Code,0,0
ChatGPT and Software Testing Education: Promises & Perils,0,0
Ethical AI is not about AI,1,0
"ChatGPT for Good? On Opportunities and Challenges of Large Language 
 Models for Education",0,0
Studying the Effect of AI Code Generators on Supporting Novice Learners in Introductory Programming,0,0
AI-Generated Code Not Considered Harmful,0,0
Comparing Code Explanations Created by Students and Large Language Models,0,0
Using Large Language Models to Enhance Program ming Error Messages,0,0
Competition-level Code Generation with AlphaCode,0,0
Intelligence Unleashed: An Argument for AI in Education,0,0
The Implications of Large Language Models for CS Teachers and Students,0,0
Experiences from Using Code Explanations Generated by Large Language Models in a Web Soft ware Development E-Book,0,0
Automatically Generating CS Learning Materials with Large Language Models,0,0
The Ethics of Algorithms: Mapping the Debate,0,0
Here are the Schools and Colleges That Have Banned the Use of ChatGPT over Plagiarism and Misinformation Fears,1,0
Authorship and AI tools,1,0
"Gen erative AI for Programming Education: Benchmarking ChatGPT, GPT-4, and Human Tutors",0,0
Learn AI-Assisted Python Programming With GitHub Copilot and ChatGPT,1,0
TransformedbyTransformers: Navigating the AI Coding Revolution for Computing Education: An ITiCSE Working Group Conducted by Humans,0,0
Github Copilot in the Classroom: Learning to Code with AI Assistance,0,0
Engineering Education in the Era of ChatGPT: Promise and Pitfalls of Generative AI for Education,0,0
Exploring ChatGPT’s Impact on Post-secondary Education: A Qualitative Study,0,0
ProgrammingPedagogy andAssessment in the Era of AI/ML: A Position Paper,0,0
"University Students as Early Adopters of ChatGPT: 
 Innovation Diffusion Study",0,0
Evaluating the Performance of Code Generation Models for Solving Parsons Problems With Small Prompt Variations,0,0
AI Authorship?,1,0
Automatic Gener ation of Programming Exercises and Code Explanations Using Large Language Models,0,0
ChatGPT for Education and Research: A Review of Benefits and Risks,0,0
Expectation vs. Experience: Evaluating the Usability of Code Generation Tools Powered by Large Language Models,0,0
"Exploring the Role of AI Assistants in Computer Science Education: Methods, Implications, and Instructor Perspectives",0,0
Wordcraft: Story Writing With Large Language Models,0,0
Generative AI in Computing Education: Perspectives of Students and Instructors,0,0
Introducing ChatGPT,1,0
Do ChatGPT and Other AI Chatbots Pose a Cybersecurity Risk? An Exploratory Study: Social Sciences &,1,0
Number of ChatGPT Users,1,0
How to Build an AI-Powered Chatbot?,1,0
"AHistoryofGenerative AI: From GANtoGPT-4.Accessed:Jun.27,2023",1,0
"D.C.Weiss,‘‘Latest version of ChatGPT aces bar examwithscore nearing 90th percentile,’",1,0
From ChatGPT to HackGPT: Meeting the Cybersecurity Threat of Generative AI,1,0
Using ChatGPT to Improve Your Cybersecurity Posture,1,0
"ChatGPT Confirms Data Breach, Raising Security Concerns",1,0
What is ChatGPT? ChatGPT Security Risks,1,0
"‘Weaponized AI for cyber attacks,’",0,0
"How to Jailbreak ChatGPT, List of Prompts",1,0
Here’s How Anyone Can Jailbreak ChatGPT With These Top 4 Methods—AMBCrypto,1,0
How to Jailbreak ChatGPT: Get it to Really do What You Want,1,0
How to Enable ChatGPT Developer Mode: 5 Steps (With Pictures,1,0
How to Enable ChatGPT Developer Mode: A Quick Guide,1,0
"ChatGPT Tricked With Reverse Psychology Into Giving Up Hacking Site Names, Despite Being Programmed Not To",1,0
ChatGPT Has an ‘Escape’ Plan and Wants to Become Human,1,0
Prompt Injection: An AI-Targeted Attack,1,0
Understanding the Risks of Prompt Injection Attacks on ChatGPT and Other Language Models,1,0
AI-Powered Bing Chat Spills its Secrets Via Prompt Injection Attack,1,0
4 ChatGPT Cybersecurity Benefits for the Enterprise,1,0
ChatGPT and PowerShell—Some Practical Examples,1,0
IEEE Global Initiative Aims to Advance Ethical Design of AI andAutonomousSystems,1,0
ChatGPT for Link Building: A Primer,1,0
Playbook of the Week: Using ChatGPT in Cortex XSOAR,1,0
"Ethical Implications of ChatGPT: The Good, the Bad, the Ugly",1,0
"ChatGPT Confirms Data Breach, Rais ing Security Concerns",1,0
ChatGPT Has a Big Privacy Problem,1,0
Samsung Workers Made a Major Error by Using ChatGPT,1,0
ChatGPT Hallucinations Open Developers to Supply Chain Malware Attacks,1,0
OpenAI’s ChatGPT vs. Google’s Bard AI: A Comparative Analysis,1,0
ChatGPT-Plugins,1,0
AI Chatbots in programming education: Guiding success or encouraging plagiarism,0,0
ChatGPT: The Cognitive Effects on Learning and Memory,0,0
ChatGPT in the higher education: A systematic literature review and research challenges,0,0
Recommendations to Create Programming Exercises to Overcome ChatGPT,0,0
The Manifesto for Teaching and Learning in a Time of Generative AI: A Critical Collective Stance to Better Navigate the Future,0,0
ChatGPT in a Programming Course: Benefits and Limitations,0,0
Programming with ChatGPT: How far can we go?,0,0
"It’s not like Jarvis, but it’s pretty close!” - Examining ChatGPT’s Usage among Undergraduate Students in Computer Science",0,0
Plagiarism in the Age of Generative AI: Cheat ing Method Change and Learning Loss in an Intro to CS Course,0,0
A Systematic Review of the Limitations and Asso ciated Opportunities of ChatGPT,0,0
"ChatGPT in Medicine: An Overview of its Applications, Advantages, Limitations, Future Prospects, and Ethical Considerations",0,0
Exploring ChatGPT’s code refactoring capabilities: An empirical study,0,1
Enhancing Computer Programming Education using ChatGPT - A Mini Review,0,0
ChatGPT and Python Programming homework,0,0
Investigating Code Generation Performance of ChatGPT with Crowdsourcing Social Data,0,1
Exploring Student Preference Between AI-Powered ChatGPT and Human-Curated Stack Overflow in Resolving Programming Problems and Queries,0,0
"I’m Sorry Dave, I’m Afraid I Can’t Fix Your Code: On ChatGPT, CyberSecurity, and Secure Coding",0,0
AI Chatbots in programming education: Students’ use in a scientific computing course and consequences for learn ing,0,0
Artificial Intelligence supporting independent student learn ing: An evaluative case study of ChatGPT and learning to code,0,0
Potentials of ChatGPT in Computer Programming: Insights from Programming Instructors,0,0
Teaching CS-101 at the Dawn of ChatGPT,0,0
ChatGPT in the Classroom: An Analysis of Its Strengths and Weaknesses for Solving Undergraduate Computer Science Questions,0,0
The impact of large language models on programming education and student learning outcomes,0,0
Study ing the effect of AI Code Generators on Supporting Novice Learners in Introductory Programming,0,0
Computer science education in ChatGPT Era: Experiences from an experiment in a programming course for novice programmers,0,0
Unlocking ChatGPT’s potential and challenges in inten sive care nursing education and practice: A systematic review with narrative synthesis,0,0
KOGI: A Seamless Integration of ChatGPT into Jupyter Environments for Programming Education,0,0
"From ""Ban It Till We Understand It"" to ""Resistance is Futile"": How University Programming Instructors Plan to Adapt as More Students Use AI Code Generation and Explanation Tools such as ChatGPT and GitHub Copilot",0,1
Teachers’ and students’ perceptions of AI-generated concept explanations: Implications for integrating generative Ai in computer science education,0,0
Using large language models to enhance programming error messages,0,0
Discriminating Human-authored from ChatGPT Generated Code Via Discernable Feature Analysis,0,1
Leveraging the power of AI in undergraduate computer science education: Opportunities and challenges,0,0
An exploratory study on the impact of AI tools on the student experience in programming courses: An intersectional analysis approach,0,0
Guidelines for the evolving role of generative AI in introductory programming based on emerging practice,0,0
"ChatGPT, can you generate solutions for my coding exercises? An evaluation on its effectiveness in an undergraduate java programming Course",0,0
Incorporating generative AI into software devel opment education,0,0
ChatGPT in the classroom. Exploring its potential and limitations in a functional programming course,0,0
ChatGPT in computer science curriculum assessment: An Analysis of its successes and shortcomings,0,0
What an AI-embracing software engineering curriculum should look like: An empirical study,0,0
IS Professors’ Perspectives on AI-Assisted Pro gramming,0,0
ChatGPT: Challenges and benefits in software programming for higher education,0,0
"Using ChatGPT standard prompt engineering techniques in les son preparation: Role, instructions and seed-word prompts",0,0
Investigating the use of AI-generated exercises for beginner and intermediate programming courses: A ChatGPT case study,0,0
Exploring the research gap: Generative AI and learning of python programming among post-primary students,1,0
"Would ChatGPT-facilitated programming mode impact college students’ programming behaviors, performances, and perceptions? An empirical study",0,0
The psychological effects of AI-assisted programming on stu dents and professionals,0,0
Investigating the role of ChatGPT in supporting text-based programming education for students and teachers,0,0
A closer look at different difficulty levels code generation abilities of ChatGPT,0,0
Enhancing python learning with PyTutor: Efficacy of a ChatGPT-based intelligent tutoring system in programming education,0,0
Augmented intelligence in programming learning: Examining student views on the use of ChatGPT for programming learning,0,0
Evaluating ChatGPT: Generative AI in UX design and web development pedagogy,0,0
ChatGPT for teaching and learning: An experience from data science education,0,0
StarCoder: may the source be with you!,0,1
Uncovering and quantifying social biases in code generation,0,1
ChatGPT and Large Language Models (LLMs) in healthcare: Opportunities and risks,1,0
ChatGPT-3.5 as writing assistance in students’ essays,0,0
Programming is hard-or at least it used to be: Educational oppor tunities and challenges of ai code generation,1,0
Taking Flight with Copilot: Early insights and opportunities of AI-powered pair programming tools,0,0
"Generative AI assistants in software development education: A vision for integrating generative AI into educational practice, not instinctively defending against it",1,0
Chatting and cheating: Ensuring academic integrity in the era of ChatGPT,0,0
Github copilot ai pair programmer: Asset or liability?,0,0
Robosourcing educational resources leveraging Large Language Models for learnersourcing,1,0
My AI wants to know if this will Be on the exam,0,0
Educational issues triggered by ChatGPT: Possible impacts and counter measures,1,0
From “Ban it till we understand it” to “Resistance is futile”: How university programming instructors plan to adapt as more students use AI code generation and explanation tools such as ChatGPTand GitHub copilot,1,0
On the robustness of code generation techniques: An empirical study on github copilot,0,0
"How generative ai models such as chatgpt can be (mis) used in spc practice, education, and research? An exploratory study",0,0
"ChatGPT for education and research: Opportunities, threats, and strategies",0,0
ChatGPT: Bullshit spewer or the end of traditional assessments in higher education?,0,0
Automatic generation of programming exercises and code explanations using large language models,0,0
An empirical evaluation of using Large Language Models for automated unit test generation,0,0
Expectation vs. experience: Evaluating the usability of code generation tools powered by large language models,0,0
A new era of plagiarism the danger of cheating using AI,0,0
An important next step on our AI journey,1,0
ClassEval: A Manually Crafted Benchmark for Evaluating LLMs on Class-level Code Generation,0,0
Set Up Now for AI to Augment Soft ware Development,0,0
The economic impact of the AI-powered developer lifecy cle and lessons from GitHub Copilot,1,0
Survey reveals AI’s impact on the developer experience,1,0
Software Industry Awareness on Green and Sustainable Software Engineering: A State-of-the Practice Survey,0,0
A Large-Scale Survey on the Usability of AI Programming Assistants: Successes and Challenges,0,0
ChatGPT,1,0
ChatGPT sets record for fastest-growing user base,1,0
Expectation vs Experience- Evaluating the Usability of Code Generation Tools Powered by Large Language Models,0,0
"Evaluating the Code Quality of AI-Assisted Code Generation Tools: An Empirical Study on GitHub Copilot, Amazon CodeWhisperer, and ChatGPT",0,0
Tensorrt-llm: High-performance inference for large language models,0,0
Solar 10.7b: Scaling large language models with simple yet effective depth up-scaling,0,0
"Understanding multi dimensional efficiency of fine-tuning large language models using speedup, memoryup, and energyup",0,0
Persistent anti muslim bias in large language models,0,0
Large language models in machine transla tion,0,0
Generative ai could raise global gdp by 7%,1,0
Openai’s chatgpt chatbot tops the list but these are the 9 other most popular ai tools just now,1,0
Pause giant ai experiments: An open letter,1,0
Chatgpt outperforms crowd-workers for text-annotation tasks,1,0
Eval uating large language models in generating synthetic hci research data: a case study,0,0
Auditing the ai auditors: A framework for evaluating fairness and bias in high stakes ai predictive models,0,0
Do we still need human as sessors? prompt-based gpt-3 user simulation in con versational ai,0,0
Closing the ai accountability gap: Defining an end-to-end framework for internal algo rithmic auditing,0,0
Chatgpt and advanced ai face new regulatory push in europe,1,0
Us begins study of possible rules to regulate ai like chatgpt,1,0
Automatic Code Generation of MVC Web Applications,0,0
Automatic HTML Code Generation from Mock- Up Images Using Machine Learning Techniques,0,0
Factors Involved in Artificial Intelligence-based Automated HTML Code Generation Tool,0,0
Automatic HTML Code Generation from Graphical User Interface Image,0,0
Image2emmet: Automatic Code Generation from Web User Interface Image,0,0
Understanding HTML with Large Language Models,0,0
Automatic Code Generation From Low Fidelity Graphical User Interface Sketches Using Deep Learning,0,0
Automatic Html Code Generation from Mock-Up Images Using Machine Learning Techniques,0,0
HTML Code Generation from Website Images and Sketches using Deep Learning-Based Encoder- Decoder Model,0,0
HTML Code Generation using CNN Algorithm,0,0
A Deep Learning Based Object Detec- tion System for User Interface Code Generation,0,0
UI Code Generation using Deep learning,0,0
Dynamic web with automatic code generation using deep learning,0,0
Automatic HTML code generation from mock-up images using machine learning techniques,1,0
Generative AI Degrades Online Communities,1,0
AI hallucinates software packages and devs download them– even if potentially poisoned with malware,1,0
"Focus: Google, one of AI’s biggest backers, warns own staff about chatbots",1,0
The economic impact of the AI-powered developer lifecycle and lessons from GitHub Copilot,1,0
SeaChangeinSoftware Development: Economic and Productivity Analysis of the AI-Powered Developer Lifecycle,1,0
An Empirical Categorization of Prompting Techniques for Large Language Models: APractitioner’s Guide,1,0
GitHub Copilot · Your AI pair programmer,1,0
Project Naptime: Evaluating Offensive Se curity Capabilities of Large Language Models,1,0
Samsung Bans Staff’s AI Use After Spotting ChatGPT Data Leak,1,0
Hai: The AI Assistant for Vulnerability Intelligence,1,0
Large Language Models for Code: Security Hardening and Adversarial Testing,0,0
Is Stack Overflow Obsolete? An Empirical Study of the Characteristics of ChatGPT An swers to Stack Overflow Questions,0,0
The Menlo Report: Ethical Principles Guiding Information and Communication Technology Research,1,0
Diving Deeper into AI Package Hallucinations,1,0
A Large-Scale Survey on the Usability of AI Programming Assistants: Successes and Challenges,0,0
LLMs Killed the Script Kiddie: How Agents Supported by Large Language Models Change the Landscape of Network Threat Testing,1,0
CodexLeaks: Privacy Leaks from Code Generation Language Models in GitHub Copilot,0,1
Introducing ChatGPT,1,0
Do Users Write More Insecure Code with AI Assistants?,0,0
NYU CTF Dataset: A Scalable Open-Source Benchmark Dataset for Evaluating LLMs in Offensive Security,1,0
"AI Code, Security, and Trust: Organizations Must Change Their Ap proach",1,0
Using Large Language Models for Cybersecurity Capture-The-Flag Challenges and Certification Questions,1,0
Apple becomes the latest company to ban ChatGPT for internal use,1,0
"It’s a Fair Game"", or Is It? Examining HowUsers Navigate Disclosure Risks and Benefits When Using LLM-Based Con versational Agents",0,0
"Designing Disaggregated Evaluations of AI Systems: Choices, Considerations, and Tradeoffs",0,0
Competition-level code generation with alphacode,0,0
Prompt programming for large language models: Beyond the few-shot paradigm,0,0