paper title,excluded,selected
Generative Artificial Intelligence for Software Engineering--A Research Agenda,1,0
From HAL to GenAI: Optimizing chatbot impacts with CARE,0,0
Balancing innovation and Regulation in the age of geneRative artificial intelligence,0,0
Impacts of generative artificial intelligence on the future of labor market: A systematic review,0,0
Ethics of Software Programming with Generative AI: Is Programming without Generative AI always radical?,1,0
Understanding the Ethics of Generative AI: Established and New Ethical Principles,0,0
PMAssist: Scaling Product Efficiency using GenAI,0,0
Generative AI-driven customer insights in marketing operations,1,0
Användning av generativ AI för dokumentation av QR inom agila metoder,1,0
An Exploration of Using Retrieval-Augmented Generation With Access Control,1,0
Generative Artificial Intelligence Use in Optimising Software Engineering Process: A Systematic,1,0
Student Perspectives on Using a Large Language Model (LLM) for an Assignment on Professional Ethics,0,0
The promise and challenges of generative AI in education,0,0
"[PDF] Large language models: a comprehensive survey of its applications, challenges, limitations, and future prospects",1,0
"Generative AI in education: A study of Educators' awareness, sentiments, and influencing factors",0,0
Large Language Models in Computer Science Classrooms: Ethical Challenges and Strategic Solutions.,0,0
With Great Power Comes Great Responsibility-Integrating Data Ethics into Computing Education,0,0
"[PDF] LLMs: A Comprehensive Survey of Applications, Challenges, Datasets, Models, Limitations, and Future Prospects",1,0
"Generative AI in education from the perspective of students, educators, and administrators",1,0
Programmers Aren't Obsolete Yet: A Syllabus for Teaching CS Students to Responsibly Use Large Language Models for Code Generation,1,0
Large language models (LLMs) in engineering education: A systematic review and suggestions for practical adoption,0,0
"Advancing education with large language models: a systematic review of potential, limitations, and business opportunities",1,0
AI Literacy in K-12 and Higher Education in the Wake of Generative AI: An Integrative Review,1,0
"Beyond the Hype: A Comprehensive Review of Current Trends in Generative AI Research, Teaching Practices, and Tools",0,0
Insights from social shaping theory: The appropriation of large language models in an undergraduate programming course,0,0
Path to Personalization: A Systematic Review of GenAI in Engineering Education,0,0
Exploring the Use of Generative AI in Computer Science Education in a Technological University in Ireland,0,0
Software engineering education in the era of conversational AI: current trends and future directions,0,0
Open Source Language Models Can Provide Feedback: Evaluating LLMs' Ability to Help Students Using GPT-4-As-A-Judge,0,0
Understanding Help-Seeking Behavior of Students Using LLMs vs. Web Search for Writing SQL Queries,1,0
… and peril of Coding & Robotics education in South Africa: A scoping review of teacher preparation and generative artificial intelligence's potential for delivering equity,0,0
Unlocking Learning Potential: Generative AI Chatbots as Study Partners in Online BS in Computer Science Degree Program,0,0
"LLMs Integration in Software Engineering Team Projects: Roles, Impact, and a Pedagogical Design Space for AI Tools in Computing Education",1,0
Sieving Coding Assignments Over Submissions Generated by AI and Novice Programmers,0,0
[PDF] GenAI DRIVEN LIBRARIES: TOWARDS TRANSFORMING HIGHER EDUCATIONAL INSTITUTIONS,1,0
The Detection of AI Generated Coding Content,1,0
"The New Calculator? Practices, Norms, and Implications of Generative AI in Higher Education",1,0
[PDF] Investigating computing science students' and educators' initial perceptions of ChatGPT in higher education,1,0
We have to learn to work with such systems: Students' Perceptions of ChatGPT After a Short Educational Intervention on NLP,0,0
Examining Student and Teacher Perspectives on Undisclosed Use of Generative AI in Academic Work,0,0
Using Microsoft Copilot Chat in the Work of IT Educators: Pilot Study,0,0
[PDF] Tehokkaiden strategioiden ja haasteiden tutkiminen tekoälytyökalujen integroinnissa ohjelmoinnin opetukseen,1,0
[PDF] Learning and Teaching with AI in STEM Education: An Umbrella Review,1,0
Scalable Personalized Education in the Age of GenAI: The Potential and Challenges of the PolyGloT Framework,0,0
The human nature of generative AIs and the technological nature of humanity: Implications for education,0,0
The Role of Generative AI in Software Student CollaborAItion,1,0
CompEd-WGR 2023,1,0
Where's the Data? Finding and Reusing Datasets in Computing Education,0,0
Exploring ChatGPT and its impact on society,0,0
"Exploring the impact of ChatGPT on art creation and collaboration: Benefits, challenges and ethical implications",0,0
[PDF] Review of generative ai methods in cybersecurity,1,0
"Transparency, Security, and Workplace Training & Awareness in the Age of Generative AI",1,0
Large Language Model‐Based Chatbots in Higher Education,0,0
Balancing Bytes and Ethics: Stakeholder Implications of Private LLMs.,0,0
Engineering Safety and Ethical Challenges in 2045 Artificial Intelligence Singularity,0,0
Large Language Models in Computer Science Classrooms: Ethical Challenges and Strategic Solutions.,0,0
Ethical and Privacy Challenges of Generative AI,0,0
"Risks, Causes, and Mitigations of Widespread Deployments of Large Language Models (LLMs): A Survey",0,0
Understanding the Ethics of Generative AI: Established and New Ethical Principles,0,0
A survey on human-ai teaming with large pre-trained models,1,0
A primer on generative artificial intelligence,0,0
"A systematic review and comprehensive analysis of pioneering AI chatbot models from education to healthcare: ChatGPT, Bard, Llama, Ernie and Grok",0,0
"Trustworthy, responsible, and safe ai: A comprehensive architectural framework for ai safety with challenges and mitigations",1,0
GPT-4 in a cancer center—institute-wide deployment challenges and lessons learned,0,0
Optimizing AI-Assisted Code Generation,1,0
GPTs or Grim Position Threats? The Potential Impacts of Large Language Models on Non-Managerial Jobs and Certifications in Cybersecurity,0,0
"Chatgpt's security risks and benefits: offensive and defensive use-cases, mitigation measures, and future implications",0,0
Navigating the Ethical Terrain of AI-Generated Text Tools: A Review,0,0
"A contemporary review on chatbots, AI-powered virtual conversational agents, ChatGPT: Applications, open challenges and future research directions",0,0
Governance of generative artificial intelligence for companies,1,0
Educational Technology and Responsible Automated Essay Scoring in the Generative AI Era,0,0
A security risk taxonomy for prompt-based interaction with large language models,0,0
"Risk taxonomy, mitigation, and assessment benchmarks of large language model systems",1,0
Ai agents under threat: A survey of key security challenges and future pathways,0,0
Generative AI in cyber security of cyber physical systems: Benefits and threats,0,0
The ethical security of large language models: A systematic review,0,0
Against The Achilles' Heel: A Survey on Red Teaming for Generative Models,0,0
Ethical dimensions of generative AI: a cross-domain analysis using machine learning structural topic modeling,0,0
[PDF] Using large language models to mitigate ransomware threats,1,0
[PDF] Ethical Use of Generative AI in a Business Management Consulting and Research Case,1,0
Fortifying Ethical Boundaries in AI: Advanced Strategies for Enhancing Security in Large Language Models,1,0
Application of Large Language Models in Cybersecurity: A Systematic Literature Review,0,0
Psychological Profiling in Cybersecurity: A Look at LLMs and Psycholinguistic Features,0,0
An experimental hybrid customized AI and generative AI chatbot human machine interface to improve a factory troubleshooting downtime in the context of Industry 5.0,0,0
Exploring the Role of Generative Artificial Intelligence in the Energy Sector: A Comprehensive Literature Review,0,0
"[PDF] Emerging cybersecurity and privacy threats of chatgpt, gemini, and copilot: Current trends, challenges, and future directions",1,0
Recommender Systems Meet Large Language Model Agents: A Survey,0,0
Detection of AI Generated Text With BERT Model,0,0
Large language models in 6g security: challenges and opportunities,1,0
A learning agreement for generative AI use in university courses: a pilot study,1,0
Future of ADHD care: Evaluating the efficacy of ChatGPT in therapy enhancement,0,0
Digital Sentinels and Antagonists: The Dual Nature of Chatbots in Cybersecurity,0,0
Trust and Trustworthiness: Privacy Protection in the ChatGPT Era,0,0
Bridging knowledge gap: the contribution of employees' awareness of AI cyber risks comprehensive program to reducing emerging AI digital threats,0,0
User-Centric Adoption of Democratized Generative AI: Focus on Human-Machine Interaction and Overcoming Challenges,0,0
Trust and Trustworthiness: Privacy,1,0
A Systematic Literature Review of Empirical Research on Applying Generative Artificial Intelligence in Education,0,0
Benchmark data contamination of large language models: A survey,1,0
Therapy as an NLP Task: Psychologists' Comparison of LLMs and Human Peers in CBT,1,0
Near to mid-term risks and opportunities of open-source generative AI,1,0
AI for cyber-security risk: harnessing AI for automatic generation of company-specific cybersecurity risk profiles,0,0
Privacy-preserved and Responsible Recommenders: From Conventional Defense to Federated Learning and Blockchain,0,0
AN ANALYSIS OF SECURITY RISKS POSED BY TEXT-BASED GENERATIVE AI AND CORPORATE SECURITY WEAKNESSES LEADING TO DATA LEAKS,0,0
Reliability Issues of LLMs: ChatGPT a Case Study,0,1
Artificial intelligence in e-commerce,0,0
Seven HCI Grand Challenges Revisited: Five-Year Progress,0,0
"Negotiating with llms: Prompt hacks, skill gaps, and reasoning deficits",0,0
Exploring the frontiers of llms in psychological applications: A comprehensive review,1,0
Understanding privacy concerns in ChatGPT: A data-driven approach with LDA topic modeling,0,0
"Generative AI in user experience design and research: how do UX practitioners, teams, and companies use GenAI in industry?",0,0
Enhancing DevSecOps practice with Large Language Models and Security Chaos Engineering,0,0
Natural Language but Omitted? On the Ineffectiveness of Large Language Models' privacy policy from End-users' Perspective,1,0
Applications of generative AI (GAI) for mobile and wireless networking: A survey,0,0
"Generative AI and LLMs for critical infrastructure protection: evaluation benchmarks, agentic AI, challenges, and opportunities",0,0
An Approach Based on LLMs for Forensic Threat Detection in Autonomous Systems,0,0
Grounded large language models for diagnostic prediction in real-world emergency department settings,0,0
Approaches for integrating generative artificial intelligence in emergency healthcare education within higher education: a scoping review.,0,0
Unique security and privacy threats of large language model: A comprehensive survey,1,0
[PDF] Risks and Opportunities of Open-Source Generative AI,1,0
"GPT, ontology, and CAABAC: A tripartite personalized access control model anchored by compliance, context and attribute",0,0
ChatGPT-assisted penetration testing of consumer IoT devices: Exploring penetration testing of consumer IoT devices assisted by GPT-4,1,0
eXplainable artificial intelligence (XAI) in business management research: a success/failure system perspective,0,0
Threat Attribution using Generative AI,1,0
"Towards message brokers for generative ai: Survey, challenges, and opportunities",1,0
Unsafe Synthetic Image Generation,1,0
A review of generative models in generating synthetic attack data for cybersecurity,0,0
"[PDF] Generativ AI, digital resiliens och civil beredskap: en kunskapsöversikt",1,0
On the Impact of Noise in Differentially Private Text Rewriting,1,0
Unveiling Provider Bias in Large Language Models for Code Generation,1,0
Exposing Product Bias in LLM Investment Recommendation,1,0
Enhancing education for children with ASD: a review of evaluation and measurement in AI tool implementation,0,0
AI-Powered Education: Rethinking the Way Programming is Taught Using AI Tools and Reversed Bloom's Taxonomy,0,0
Copyright protection in generative ai: A technical perspective,1,0
Scratch Copilot Evaluation: Assessing AI-Assisted Creative Coding for Families,1,0
A user-centered security evaluation of copilot,0,0
LLMs: A Game-Changer for Software Engineers?,1,0
"LLMs' Reshaping of People, Processes, Products, and Society in Software Development: A Comprehensive Exploration with Early Adopters",1,0
Predicting the Need for Test Maintenance Using LLM Agents-Applying Test Maintenance Factors to Changes in Production Code to Identify If and Where Test Cases …,1,0
ChatGPT API: Brief overview and integration in Software Development,0,0
Is ethics merely a checkbox? Exploring the Motivations of AI Practitioners Towards Ethics in AI,1,0
AI-Driven Software Development How Has the Rise of ChatGPT Impacted GitHub Repositories?-Analysing Organisational User Activity,1,0
AI-Driven Software Development How Has the Rise of ChatGPT Impacted GitHub Users?,1,0
AI-Driven Software Development How has the rise of ChatGPT Impacted GitHub Repositories?-Impact of ChatGPT on Code Quality,1,0
Quantitative Assessment of Generative Large Language Models on Design Pattern Application.,0,0
Ai-Driven Software Development: How Has the Rise of ChatGPT Impacted GitHUB Users?-Identification of Control and Treatment Groups,1,0
A novel voice in head actor critic reinforcement learning with human feedback framework for enhanced robot navigation,0,0
Ihmisen ja tekoälyn yhteistyö ohjelmistokehityksessä,1,0
Bachelor's Thesis Computing Science,1,0
Copyright protection in generative ai: A technical perspective,1,0
Ai agents under threat: A survey of key security challenges and future pathways,0,0
"Generative artificial intelligence in construction: A Delphi approach, framework, and case study",0,0
Emergent Possibilities and Challenges in Deep Learning for Code,1,0
"Robustness, security, privacy, explainability, efficiency, and usability of large language models for code",1,0
Introducing AI Code Generators in Agile Software Testing,0,0
Network Traffic Fingerprinting for IIoT Device Identification: A Survey,0,0
Introducing AI Code Generators in Agile Software Testing,0,0
Human-AI Experience in Integrated Development Environments: A Systematic Literature Review,1,0
"LLMs' Reshaping of People, Processes, Products, and Society in Software Development: A Comprehensive Exploration with Early Adopters",1,0
A complete survey on llm-based ai chatbots,1,0
Self-collaboration code generation via chatgpt,0,0
"Large Language Models (LLM) in Industry: A Survey of Applications, Challenges, and Trends",0,0
"Red teaming chatgpt via jailbreaking: Bias, robustness, reliability and toxicity",1,0
"[PDF] A survey on large language models: Applications, challenges, limitations, and practical usage",1,0
AI-native interconnect framework for integration of large language model technologies in 6G systems,1,0
Understanding large language models,0,0
"History, development, and principles of large language models: an introductory survey",0,0
"Comprehensive analysis of transparency and accessibility of chatgpt, deepseek, and other sota large language models",1,0
The limitations and ethical considerations of chatgpt,0,0
Bugs in large language models generated code: An empirical study,0,0
LLM-in-the-loop: Leveraging large language model for thematic analysis,1,0
"[PDF] Large language models: a comprehensive survey of its applications, challenges, limitations, and future prospects",1,0
"Risk taxonomy, mitigation, and assessment benchmarks of large language model systems",1,0
“Conversing” with qualitative data: Enhancing qualitative research through large language models (LLMs),0,0
Generative retrieval-augmented ontologic graph and multiagent strategies for interpretive large language model-based materials design,0,0
Chatglm: A family of large language models from glm-130b to glm-4 all tools,1,0
The Transformative Impact of Large Language Models on Neural Network Research,0,0
Evolution and Prospects of Foundation Models: From Large Language Models to Large Multimodal Models.,0,0
Navigating the Ethical Terrain of AI-Generated Text Tools: A Review,0,0
The future of accounting: Sentiment analysis in AI-rewritten SEC filings,0,0
"Towards Federated Large Language Models: Motivations, Methods, and Future Directions",0,0
Computational experiments meet large language model based agents: A survey and perspective,1,0
On Generative Artificial Intelligence: Open-Source is the Way,0,0
Mapping the evolution of generative AI: insights from bibliometric research,0,0
Biocoder: A benchmark for bioinformatics code generation with contextual pragmatic knowledge,0,0
"Camel: Communicative agents for"" mind"" exploration of large language model society",0,0
The implementation of the cognitive theory of multimedia learning in the design and evaluation of an AI educational video assistant utilizing large language models,0,0
Fine-Tuning Large Language Models for Practical Software Engineering: Case Studies in Automated Patch Generation,0,0
A comprehensive survey of ai-generated content (aigc): A history of generative ai from gan to chatgpt,1,0
"[PDF] LLMs: A Comprehensive Survey of Applications, Challenges, Datasets, Models, Limitations, and Future Prospects",1,0
Cloud Platforms for Developing Generative AI Solutions: A Scoping Review of Tools and Services,1,0
Autonomous chemical research with large language models,0,0
Fingpt: Democratizing internet-scale data for financial large language models,1,0
Large Language Models for Software Engineering: A Systematic Mapping Study,0,0
Qwen 2.5: A Comprehensive Review of the Leading Resource-Efficient LLM with potentioal to Surpass All Competitors,1,0
"A review on large language models: Architectures, applications, taxonomies, open issues and challenges",0,0
TableAnalyst: an LLM-agent for tabular data analysis-Implementation and evaluation on tasks of varying complexity,1,0
Beyond efficiency: A systematic survey of resource-efficient large language models,1,0
A survey of ai-generated content (aigc),0,0
[PDF] Towards Principled Training and Serving of Large Language Models,1,0
Prompt2DeModel: Declarative Neuro-Symbolic Modeling with Natural Language,1,0
"UI/UX for Generative AI: Taxonomy, Trend, and Challenge",0,0
Large language models still can't plan (a benchmark for LLMs on planning and reasoning about change),0,0
Criticbench: Benchmarking llms for critique-correct reasoning,1,0
Do Large Language Models Mirror Cognitive Language Processing?,1,0
Comparative Analysis of Large Language Models,0,0
A categorical archive of chatgpt failures,1,0
ChatGPT or A Silent Everywhere Helper: A Survey of Large Language Models,1,0
Applications of Generative AI Models,0,0
[PDF] Beyond One-Model-Fits-All: A Survey of Domain Specialization for Large Language Models,1,0
Evolution through large models,0,0
ID. 8: Co-creating visual stories with generative AI,0,0
Llms and iot: A comprehensive survey on large language models and the internet of things,1,0
Continual learning of large language models: A comprehensive survey,1,0
SecCoder: Towards Generalizable and Robust Secure Code Generation,1,0
"Large Language Models for Traffic and Transportation Research: Methodologies, State of the Art, and Future Opportunities",1,0
"Trust, accountability, and autonomy in knowledge graph-based AI for self-determination",1,0
On-device query intent prediction with lightweight llms to support ubiquitous conversations,0,0
Students rather than experts: A new ai for education pipeline to model more human-like and personalised early adolescences,1,0
Sglang: Efficient execution of structured language model programs,0,0
Information Extraction from Contracts Using Large Language Models,1,0
Research directions in software supply chain security,0,0
Quality-diversity through AI feedback,1,0
Felm: Benchmarking factuality evaluation of large language models,0,0
Interactive natural language processing,1,0
Fairness in large language models: A taxonomic survey,0,0
"Agentic Large Language Models, a survey",1,0
"Reflections on Distributions: Human, Machines, Languages",1,0
The openelm library: Leveraging progress in language models for novel evolutionary algorithms,0,0
Analysis and comparison of generative AI chatbot applications,1,0
Applications of natural language processing and large language models in materials discovery,0,0
Dialogue Injection Attack: Jailbreaking LLMs through Context Manipulation,1,0
A Survey of Large Language Model for Drug Research and Development,0,0
"A Survey of Large Language Models in Discipline-specific Research: Challenges, Methods and Opportunities",0,0
Post-hoc Study of Climate Microtargeting on Social Media Ads with LLMs: Thematic Insights and Fairness Evaluation,1,0
Foundation models assist in human–robot collaboration assembly,0,0
Palm 2 technical report,1,0
Harnessing generative AI for overcoming labeled data challenges in social media NLP,1,0
How to Bridge the Gap between Modalities: Survey on Multimodal Large Language Model,0,0
"[图书] Advances in Information Retrieval: 47th European Conference on Information Retrieval, ECIR 2025, Lucca, Italy, April 6–10, 2025, Proceedings, Part I",1,0
"Automatic text summarization of French judicial data with pre-trained language models, evaluated by content and factuality metrics",1,0
[PDF] Evaluating the capabilities of large language models for spatial and situational understanding,1,0
FoMo rewards: Can we cast foundation models as reward functions?,1,0
[图书] Data Synthesis: Boosting Utility and Privacy in Natural Language Processing,1,0
"Rarr: Researching and revising what language models say, using language models",1,0
"MindLLM: Lightweight Large Language Model Pre-Training, Evaluation and Domain Application",0,0
Analyzing Failure Modes of Inscrutable Machine Learning Models,1,0
[PDF] Redefiniendo la relación del profesorado con la inteligencia artificial,1,0
Towards Low-Resource Harmful Meme Detection with LMM Agents,1,0
Knowledge Graph Augmented Multi-Hop Question Answering Using Large Language Models,1,0
Comparative Analysis of Large Language Models in Chinese Medical Named Entity Recognition,0,0
[PDF] La era de la Inteligencia Artificial en la Educación,1,0